,fake,profile_pic,sim_name_username_Full match,sim_name_username_No match,sim_name_username_Partial match,extern_url,private,ratio_numlen_username,ratio_numlen_fullname,len_desc,num_posts,num_followers,num_following
0,0,1,0.0,1.0,0.0,0,0,0.27,0.0,53,32,1000,955
1,0,1,0.0,0.0,1.0,0,0,0.0,0.0,44,286,2740,533
2,0,1,0.0,0.0,1.0,0,1,0.1,0.0,0,13,159,98
3,0,1,0.0,0.0,1.0,0,0,0.0,0.0,82,679,414,651
4,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,6,151,126
5,0,1,0.0,0.0,1.0,1,0,0.0,0.0,81,344,669987,150
6,0,1,0.0,0.0,1.0,0,0,0.0,0.0,50,16,122,177
7,0,1,0.0,1.0,0.0,0,0,0.0,0.0,0,33,1078,76
8,0,1,0.0,0.0,1.0,0,0,0.0,0.0,71,72,1824,2713
9,0,1,0.0,1.0,0.0,1,0,0.0,0.0,40,213,12945,813
10,0,1,0.0,0.0,1.0,0,0,0.0,0.0,54,648,9884,1173
11,0,1,0.0,1.0,0.0,1,0,0.0,0.0,54,76,1188,365
12,0,1,0.0,0.0,1.0,1,0,0.0,0.0,0,298,945,583
13,0,1,0.0,0.0,1.0,1,0,0.0,0.0,103,117,12033,248
14,0,1,0.0,0.0,1.0,1,0,0.0,0.0,98,487,1962,2701
15,0,1,0.0,0.0,1.0,0,0,0.0,0.0,46,254,50374,900
16,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,59,7007,289
17,0,1,0.0,0.0,1.0,0,0,0.29,0.0,48,1570,1128,694
18,0,1,0.0,1.0,0.0,1,0,0.0,0.0,63,378,34670,1878
19,0,1,0.0,0.0,1.0,1,0,0.0,0.0,106,526,2338,776
20,0,1,0.0,1.0,0.0,0,0,0.0,0.0,40,228,3516,999
21,0,1,0.0,0.0,1.0,1,1,0.0,0.0,35,35,1809,416
22,0,1,0.0,0.0,1.0,0,0,0.0,0.0,30,281,427,470
23,0,1,0.0,0.0,1.0,0,0,0.0,0.0,27,285,759,956
24,0,1,0.0,1.0,0.0,0,0,0.0,0.0,0,148,15338538,61
25,0,1,0.0,1.0,0.0,1,1,0.0,0.0,109,57,109,179
26,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,17,536,665
27,0,1,0.0,0.0,1.0,1,0,0.0,0.0,132,511,121354,176
28,0,1,0.0,1.0,0.0,1,0,0.0,0.0,126,230,2284,130
29,0,1,0.0,0.0,1.0,0,1,0.0,0.0,122,15,186,174
30,0,1,0.0,0.0,1.0,0,1,0.0,0.0,138,980,687,1517
31,0,1,0.0,1.0,0.0,0,1,0.13,0.0,0,53,966,952
32,0,1,0.0,0.0,1.0,0,1,0.0,0.0,50,111,177,170
33,0,1,0.0,0.0,1.0,0,0,0.0,0.0,35,719,744,967
34,0,1,0.0,0.0,1.0,1,0,0.0,0.0,56,1164,542073,674
35,0,1,0.0,1.0,0.0,0,0,0.18,0.0,9,497,5315651,2703
36,0,1,0.0,0.0,1.0,0,1,0.33,0.0,0,18,267,328
37,0,1,0.0,0.0,1.0,0,0,0.0,0.0,81,50,691,680
38,0,1,0.0,0.0,1.0,0,1,0.0,0.0,134,74,120,112
39,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,8,105,98
40,0,1,0.0,1.0,0.0,0,0,0.0,0.0,2,7389,890969,11
41,0,1,0.0,1.0,0.0,1,0,0.0,0.0,0,420,361853,583
42,0,1,0.0,0.0,1.0,0,0,0.0,0.0,23,433,3678,1359
43,0,1,0.0,0.0,1.0,1,0,0.0,0.0,138,156,92192,16
44,0,1,0.0,1.0,0.0,0,0,0.0,0.0,35,4494,12397719,8
45,0,1,0.0,0.0,1.0,0,0,0.0,0.0,93,751,380510,0
46,0,1,0.0,0.0,1.0,0,1,0.0,0.0,4,4,132,183
47,0,1,0.0,1.0,0.0,0,1,0.0,0.0,1,27,162,208
48,0,1,0.0,1.0,0.0,0,0,0.0,0.0,4,91,369,546
49,0,1,0.0,0.0,1.0,0,0,0.0,0.0,23,262,1476,666
50,0,1,0.0,0.0,1.0,1,0,0.0,0.0,91,274,1798,461
51,0,1,0.0,1.0,0.0,0,0,0.0,0.0,57,271,2118,1109
52,0,1,0.0,0.0,1.0,1,0,0.0,0.0,108,713,812,432
53,0,1,0.0,0.0,1.0,1,0,0.0,0.12,30,200,7217,761
54,0,1,0.0,1.0,0.0,0,0,0.0,0.0,82,12,313,376
55,0,1,0.0,1.0,0.0,1,0,0.12,0.0,12,26,64,261
56,0,1,0.0,0.0,1.0,0,0,0.0,0.0,54,75,1759,643
57,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,94,404,283
58,0,1,0.0,0.0,1.0,0,0,0.0,0.0,12,63,1843,598
59,0,1,0.0,0.0,1.0,0,0,0.12,0.0,0,69,320377,228
60,0,1,0.0,0.0,1.0,0,0,0.0,0.0,3,12,108,97
61,0,1,0.0,1.0,0.0,1,0,0.0,0.0,39,63,384,447
62,0,1,0.0,1.0,0.0,0,0,0.19,0.0,0,19,60,100
63,0,1,0.0,1.0,0.0,1,0,0.0,0.0,68,100,802,151
64,0,1,0.0,0.0,1.0,1,0,0.0,0.0,129,661,51145,528
65,0,1,0.0,1.0,0.0,1,0,0.0,0.0,57,149,1582,1882
66,0,1,0.0,0.0,1.0,0,0,0.0,0.0,64,22,223,266
67,0,1,0.0,0.0,1.0,0,0,0.0,0.0,42,400,18842,744
68,0,1,0.0,1.0,0.0,1,0,0.0,0.0,71,149,10240,1255
69,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,122,539,639
70,0,1,0.0,0.0,1.0,0,0,0.33,0.0,70,74,399,452
71,0,1,0.0,0.0,1.0,0,0,0.0,0.0,74,13,581,568
72,0,1,0.0,0.0,1.0,0,1,0.0,0.0,8,8,166,163
73,0,1,0.0,0.0,1.0,0,0,0.0,0.0,35,77,417,362
74,0,1,0.0,0.0,1.0,0,1,0.2,0.0,0,5,266,324
75,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,3,33,37
76,0,1,0.0,0.0,1.0,0,1,0.0,0.0,28,106,494,998
77,0,1,0.0,1.0,0.0,0,1,0.0,0.0,18,14,178,245
78,0,1,0.0,1.0,0.0,0,0,0.0,0.0,28,172,470,288
79,0,1,0.0,1.0,0.0,0,0,0.33,0.0,36,111,807,675
80,0,1,0.0,0.0,1.0,0,0,0.0,0.0,2,38,162,256
81,0,1,0.0,1.0,0.0,0,1,0.06,0.0,11,19,417,395
82,0,1,0.0,1.0,0.0,1,0,0.0,0.0,70,227,17303,360
83,0,1,0.0,1.0,0.0,0,0,0.0,0.0,29,221,1439,629
84,0,1,0.0,0.0,1.0,1,0,0.0,0.0,24,580,91446,526
85,0,1,0.0,0.0,1.0,1,0,0.0,0.0,21,40,824,489
86,0,1,0.0,0.0,1.0,0,0,0.0,0.0,81,101,741,1440
87,0,1,0.0,0.0,1.0,1,1,0.0,0.0,34,157,1267,899
88,0,1,0.0,0.0,1.0,0,0,0.0,0.0,40,197,4594,1713
89,0,1,0.0,0.0,1.0,0,0,0.0,0.0,12,61,1135,899
90,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,698,1926,1410
91,0,1,0.0,0.0,1.0,0,1,0.0,0.0,59,49,1068,1925
92,0,1,0.0,1.0,0.0,0,1,0.0,0.0,15,85,815,748
93,0,1,0.0,1.0,0.0,0,0,0.0,0.0,54,77,565,469
94,0,1,0.0,0.0,1.0,0,0,0.0,0.0,16,58,2556,1074
95,0,1,0.0,1.0,0.0,0,1,0.0,0.0,73,232,1312,935
96,0,1,0.0,1.0,0.0,0,0,0.0,0.0,24,20,699,599
97,0,1,0.0,1.0,0.0,0,0,0.0,0.0,0,98,4328,418
98,0,1,0.0,1.0,0.0,1,0,0.0,0.0,26,559,2487,999
99,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,189,673,438
100,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,388,730,413
101,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,28,59,55
102,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,156,289,222
103,0,1,0.0,1.0,0.0,0,1,0.0,0.0,28,6,19,20
104,0,1,0.0,0.0,1.0,1,0,0.0,0.0,55,69,3551,173
105,0,1,0.0,0.0,1.0,1,0,0.0,0.0,140,775,19512,591
106,0,1,0.0,0.0,1.0,1,0,0.0,0.0,122,205,2756,638
107,0,1,0.0,0.0,1.0,1,0,0.0,0.0,113,209,5406,589
108,0,1,0.0,1.0,0.0,0,1,0.0,0.0,38,334,459,390
109,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,9,218,75
110,0,1,0.0,1.0,0.0,0,0,0.0,0.0,23,6,796,1155
111,0,1,0.0,1.0,0.0,0,0,0.0,0.0,0,416,1113,1854
112,0,1,0.0,1.0,0.0,0,1,0.2,0.0,89,13,138,208
113,0,1,0.0,0.0,1.0,0,1,0.44,0.0,30,33,205,164
114,0,1,0.0,1.0,0.0,0,0,0.0,0.0,0,1,331,333
115,0,1,0.0,0.0,1.0,0,0,0.1,0.1,0,711,748,4659
116,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,114,490,1093
117,0,1,0.0,0.0,1.0,0,1,0.0,0.08,12,16,456,413
118,0,1,0.0,0.0,1.0,1,0,0.0,0.0,123,107,971,2047
119,0,1,0.0,1.0,0.0,0,0,0.24,0.24,0,5,497,438
120,0,1,0.0,1.0,0.0,0,1,0.14,0.0,0,7,99,132
121,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,21,193,413
122,0,1,0.0,0.0,1.0,0,0,0.0,0.0,40,65,492,689
123,0,1,0.0,1.0,0.0,0,0,0.29,0.0,0,10,167,164
124,0,1,0.0,0.0,1.0,0,1,0.0,0.0,33,59,99,178
125,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,137,916,1142
126,0,1,0.0,0.0,1.0,0,1,0.0,0.0,5,10,196,209
127,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,571,765,424
